CONTAINER ID   IMAGE                           COMMAND                 CREATED          STATUS          PORTS                      NAMES
3ac6dbd71821   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10563->51820/udp   wireguard_peer563
42b253da560c   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10562->51820/udp   wireguard_peer562
1091743ebf09   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10561->51820/udp   wireguard_peer561
0bdfe191dac6   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10560->51820/udp   wireguard_peer560
09fe82b467f7   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10559->51820/udp   wireguard_peer559
1357dd8440e6   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10558->51820/udp   wireguard_peer558
d1eba614e48e   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10557->51820/udp   wireguard_peer557
ef4d2b13577f   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10556->51820/udp   wireguard_peer556
ba0361ca4ee0   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10555->51820/udp   wireguard_peer555
c953508e3be6   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10554->51820/udp   wireguard_peer554
30c15736e567   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10553->51820/udp   wireguard_peer553
66a7705f7e36   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10552->51820/udp   wireguard_peer552
dc2f2ffb5e64   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10551->51820/udp   wireguard_peer551
155253f55bdd   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10550->51820/udp   wireguard_peer550
210d72b1d149   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10549->51820/udp   wireguard_peer549
3d7ace6dacdc   ghcr.io/linuxserver/wireguard   "/init ping 10.0.1.1"   21 minutes ago   Up 21 minutes   0.0.0.0:10548->51820/udp   wireguard_peer548
